itemsets,support
"frozenset({'🍔', '🍕', '🍟'})",0.0092
"frozenset({'🍊', '🍉', '🍇'})",0.0079
"frozenset({'🍫', '🍭', '🍬'})",0.007
"frozenset({'🍨', '🍦', '🍧'})",0.0069
"frozenset({'🍍', '🍊', '🍉'})",0.0069
"frozenset({'🍍', '🍉', '🍇'})",0.0064
"frozenset({'🍉', '🥝', '🍇'})",0.0061
"frozenset({'🍊', '🥝', '🍉'})",0.0061
"frozenset({'🍊', '🥝', '🍇'})",0.006
"frozenset({'🍍', '🍊', '🍇'})",0.0059
"frozenset({'🎂', '🍫', '🍰'})",0.0058
"frozenset({'🍍', '🥝', '🍉'})",0.0057
"frozenset({'🍍', '🍊', '🥝'})",0.0056
"frozenset({'🍍', '🥝', '🍇'})",0.0054
"frozenset({'🍗', '🍔', '🍟'})",0.0047
"frozenset({'🍉', '🍓', '🍇'})",0.0045
"frozenset({'🍭', '🍬', '🍰'})",0.0045
"frozenset({'🎂', '🍦', '🍰'})",0.0043
"frozenset({'🌭', '🍔', '🍕'})",0.004
"frozenset({'🌮', '🍔', '🍕'})",0.004
"frozenset({'🍔', '🍕', '🍗'})",0.004
"frozenset({'🍦', '🍰', '🍨'})",0.0039
"frozenset({'🍫', '🍦', '🍰'})",0.0039
"frozenset({'🍒', '🍓', '🍉'})",0.0038
"frozenset({'🍓', '🍎', '🍉'})",0.0038
"frozenset({'🍍', '🍓', '🍉'})",0.0037
"frozenset({'🍒', '🍓', '🍇'})",0.0036
"frozenset({'🎂', '🍰', '🍧'})",0.0036
"frozenset({'🍦', '🍭', '🍰'})",0.0036
"frozenset({'🎂', '🍭', '🍰'})",0.0035
"frozenset({'🍌', '🍓', '🍉'})",0.0035
"frozenset({'🍫', '🍭', '🍰'})",0.0034
"frozenset({'🍦', '🍰', '🍧'})",0.0034
"frozenset({'🍒', '🍎', '🍓'})",0.0033
"frozenset({'🍊', '🍓', '🍉'})",0.0033
"frozenset({'🍊', '🍓', '🍇'})",0.0033
"frozenset({'🍨', '🍰', '🍧'})",0.0033
"frozenset({'🍋', '🍊', '🍉'})",0.0033
"frozenset({'🍗', '🍕', '🍟'})",0.0033
"frozenset({'🎂', '🍬', '🍰'})",0.0032
"frozenset({'🍉', '🍎', '🍇'})",0.0032
"frozenset({'🍫', '🍰', '🍨'})",0.0032
"frozenset({'🍦', '🍩', '🍰'})",0.0032
"frozenset({'🍓', '🍎', '🍇'})",0.0031
"frozenset({'🍫', '🍬', '🍰'})",0.0031
"frozenset({'🍫', '🍦', '🍨'})",0.0031
"frozenset({'🍊', '🍎', '🍉'})",0.0031
"frozenset({'🍫', '🍦', '🍭'})",0.0031
"frozenset({'🍑', '🍓', '🍉'})",0.003
"frozenset({'🎂', '🍫', '🍭'})",0.0029
"frozenset({'🎂', '🍭', '🍬'})",0.0029
"frozenset({'🍏', '🍊', '🍎'})",0.0029
"frozenset({'🍩', '🍪', '🍰'})",0.0028
"frozenset({'🎂', '🍦', '🍨'})",0.0028
"frozenset({'🍨', '🎂', '🍰'})",0.0028
"frozenset({'🎂', '🍫', '🍬'})",0.0027
"frozenset({'🍊', '🍎', '🍓'})",0.0027
"frozenset({'🍋', '🍓', '🍉'})",0.0027
"frozenset({'🍫', '🍪', '🍰'})",0.0026
"frozenset({'🍍', '🍓', '🍇'})",0.0026
"frozenset({'🍊', '🍎', '🍇'})",0.0025
"frozenset({'🍫', '🍩', '🍰'})",0.0025
"frozenset({'🍫', '🎂', '🍦'})",0.0025
"frozenset({'🍒', '🍉', '🍇'})",0.0025
"frozenset({'🍒', '🍑', '🍓'})",0.0025
"frozenset({'🍏', '🍊', '🍓'})",0.0025
"frozenset({'🍋', '🍊', '🍓'})",0.0024
"frozenset({'🎂', '🍦', '🍭'})",0.0024
"frozenset({'🍨', '🎂', '🍧'})",0.0024
"frozenset({'🍔', '🍕', '🍦'})",0.0024
"frozenset({'🍌', '🍊', '🍉'})",0.0024
"frozenset({'🎂', '🍦', '🍧'})",0.0023
"frozenset({'🍌', '🍊', '🍓'})",0.0023
"frozenset({'🍩', '🍫', '🍪'})",0.0023
"frozenset({'🍏', '🍎', '🍓'})",0.0023
"frozenset({'🍦', '🍪', '🍰'})",0.0022
"frozenset({'🍫', '🍦', '🍪'})",0.0022
"frozenset({'🎂', '🍫', '🍨'})",0.0021
"frozenset({'🍪', '🍦', '🍩'})",0.0021
"frozenset({'🍍', '🍊', '🍓'})",0.0021
"frozenset({'🍊', '🍑', '🍉'})",0.0021
"frozenset({'🍊', '🍑', '🍓'})",0.002
"frozenset({'🍒', '🍎', '🍉'})",0.002
"frozenset({'🍫', '🍦', '🍩'})",0.002
"frozenset({'🍒', '🍑', '🍉'})",0.0019
"frozenset({'🍍', '🍏', '🍓'})",0.0018
"frozenset({'🍒', '🍎', '🍇'})",0.0017
"frozenset({'🍍', '🍊', '🍏'})",0.0016
